,description
2,"1.1 Dhrtarastra said  On the holy field of Kuruksetra, gathered together eager for battle, what did my people and the Pandavas do, O Sanjaya? 

"
9,"1.2 Sanjaya said   King Duryodhana, on seeing the Pandava army in battle array, approached his teacher Drona and said these words:

"
142,"1.21 And he spoke, O lord of earth, these words to Sri Krsna... Arjuna said: ...Draw up my chariot, O Krsna, between the two armies, "
163,"1.24 - 1.25 Sanjaya said: Thus addressed by Arjuna, Sri Krsna drew up that best of chariots between the two armies before the view of Bhisma and Drona and all the other kings, O Dhrtarastra, and said, 'O Arjuna, behold these assembled Kauravas.' "
170,"1.24 - 1.25 Sanjaya said: Thus addressed by Arjuna, Sri Krsna drew up that best of chariots between the two armies before the view of Bhisma and Drona and all the other kings, O Dhrtarastra, and said, 'O Arjuna, behold these assembled Kauravas.' "
191,1.28 He was filled with deep compassion and said these words in despair :...
324,"1.47 Sanjaya said : Having spoken thus on the battle-field, Arjuna threw aside his how and arrows and sat down on the seat of the chariot, his heart overwhelmed with grief. "
331,"2.1 Sanjaya said   To him, who was thus overcome with pity, whose eyes were wet with tears, who was sorrow-stricken and who bore a bewildered look Sri Krsna spoke as follows:

"
338,"2.2 The Lord said  Whence comes on you this despondency, O Arjuna, in this crisis? It is unift for a noble person. It is disgraceful and it obstructs one's attainment of heaven.

"
352,"2.4 Arjuna said  How can I, O slayer of foes, aim arrows in battle against Bhisma and Drona who are worthy of reverence?

"
387,"2.9 Sanjaya said  Having spoken thus to Sri Krsna, Arjuna, the coneror of sleep and the scorcher of foes, said, 'I will not fight' and became silent.

"
401,"2.11 The  Lord said  You grieve for those who should not be grieved for; yet you speak words of wisdom. The wise grieve neither for the dead nor for the living.

"
450,"2.18 These bodiesof the Jiva (the embodied self) are said to have an end while the Jiva itself is eternal, indestructible and incomprehensibel. Therefore, fight O Bharata (Arjuna).

"
499,"2.25 This (self) is said to be unmanifest, inconceivable and unchanging. Therefore, knowing It thus, it does not  befit you to grieve.

"
660,"2.48 Abandoning attachment and established in Yoga, perfom works, viewing success and failure with an even mind. Evenness of mind is said to be Yoga.

"
702,"2.54 Arjuna said  What is the mode of speech of him who is of firm wisdom, who is established in the control of the mind?  What will a man of firm wisdom speaks, O Krsna?  How does he sit?  How does he move?

"
709,"2.55 The Lord said   When a man renounces all the desires of the mind, O Arjuna, when he is satisfied in himself with himself, then he is said to be of firm wisdom.

"
835,"3.1 Arjuna said  If, O Krsna, you consider that Buddhi (knowledge) is superior to works, why do you engage me in this terrible deed?

"
849,"3.3 The Lord said  In this world a two-fold way was of yore laid down by Me, O sinless one:  by Jnana Yoga for the Sankhyas and by Karma Yoga for the Yogins.

"
898,"3.10 In the beginning the Lord of all beings, creating man along with the sacrifice, said:  'By this shall you prosper; this shall be the cow of plenty granting all your wants.'

"
1080,"3.36 Arjuna said  But, impelled by what, O Krsna, does one (practising Jnana Yoga), commit sin even against his own will, constrained as it were, by force?

"
1087,"3.37 The Lord said  It is desire, it is wrath, born of the Guna of Rajas; it is a great devourer, an impeller to sin. Know this to be the foe here.

"
1108,"3.40 The senses, the mind and the intellect are said to be its instruments. By these it overpowers the embodied self after enveloping Its knowledge.

"
1136,"4.1 The Lord said  I taught this imperishable Yoga to Vivasvan; Vivasvan taught it to Manu; Manu declared it to Iksvaku.

"
1157,"4.4 Arjuna said  Later was your birth, and earlier the birth of Vivasvan. How then am I to understand that you taught it in the beginning?

"
1164,"4.5 The Lord said  Many births of Mine have passed, O Arjuna, and so is it with you also. I know them all, but you do not know them.

"
1430,"5.1 Arjuna said  You praise, O Krsna, the renunciation of actions and then praise Karma Yoga also. Tell me with certainly which of these is the superior one leading to the ultimate good.

"
1437,"5.2 The Lord said  Renunciation of actions and Karma Yoga, both lead to the highest excellence. But, of the two, Karma Yoga excels the renunciation of actions.

"
1633,"6.1 The Lord said  He who performs works that ought to be done without seeking their fruits - he is a Sannyasin and Yogin, and not he who maintains no sacred fires and performs no actions.

"
1647,"6.3 Action is said to be the means for the sage who seeks to climb the heights of Yoga; but when he has climbed the heights of Yoga, tranillity is said to be the means.

"
1654,"6.4 For, when one loses attachment for the things of the senses and to actions, then has the abandoned all desires and is said to have climbed the heights of Yoga.

"
1752,"6.18 When the subdued mind rests on the self alone, then, free of all yearning for objects of desire, one is said to be fit for Yoga.

"
