,description
3,"
1.1. Dhrtarastra said  O Sanjaya, what did my sons (and others) and Pandu's sons (and others) actually do when, eager for battle, they assembled on the sacred field, the Kuruksetra (Field of the Kurus)? 

"
10,"1.2 Sanjaya said  But then, seeing the army of the Pandavas in battle array, King Duryodhana approached the teacher (Drona) and uttered a speech:

"
136,"1.20  O king, thereafter, seeing Dhrtarastra's men standing in their positions, when all the weapons were ready for action, the son of Pandu (Arjuna) who had the insignia of Hanuman of his chariot-flag, raising up his bow, said the following to Hrsikesa.

"
143,"1.21  Arjuna said  O Acyuta, please place my chariot between both the armies  .

"
164,"1.24  1.25  Sanjay said  O scion of the line of Bharata (Dhrtararastra), Hrsikesa, being told so by Gudakesa (Arjuna), placed the excellent chariot between the two armies, in front of Bhisma and Drona as also all the rulers of the earth, and said, 'O Partha (Arjuna), see these assempled people of the Kuru dynasty.'

"
171,"1.24  1.25 Sanjay said  O scion of the line of Bharata (Dhrtararastra), Hrsikesa, being told so by Gudakesa (Arjuna), placed the excellent chariot between the two armies, in front of Bhisma and Drona as also all the rulers of the earth, and said, 'O Partha (Arjuna), see these assempled people of the Kuru dynasty.'

"
185,"1.27  The son of Kunti (Ajuna), seeing all those rlatives arrayed (there), became overwhelmed by supreme compassion and said this sorrowfully:

"
192,"1.28 Arjuna said  O Krsna, seeing these relatives and friends who have assembled here with the intention of fighting, my limbs become languid and my mouth becomes completely dry.

"
325,"1.47 Sanjaya narrated: Having said so, Arjuna, with a mind afflicted with sorrow, sat down on the chariot in the midst of the battle, casting aside the bow along with the arrows.
"
332,"

2.1  Sanjaya said  To him who had been thus filled with pity, whose eyes were filled with tears and showed distress, and who was sorrowing, Madhusudana uttered these words:

"
339,"2.2 The Blessed Lord said  O Arjuna, in this perilous place, whence has come to you this impurity entertained by unenlightened persons, which does not lead to heaven and which brings infamy?

"
353,"2.4  Arjuna said  O Madhusudana, O destroyer of enemies, how can I fight with arrows in battle against Bhisma and Drona who are worthy of adoration?

"
388,"2.9 Sanjaya said  Having spoken thus to Hrsikesa (Krsna), Gudakesa (Arjuna), the afflictor of foes, verily became silent, telling Govinda, 'I shall not fight.' fight.'

"
395,"2.10 O descendant of Bharata, to him who was sorrowing between the two armies, Hrsikesa, mocking as it were, said these words:

"
402,"2.11 The Blessed Lord said  You grieve for whose who are not to be grieved for; and you speak words of wisdom! The learned do not grieve for the departed and those who have not departed.

"
451,"2.18 These destructible bodies are said to belong to the everlasting, indestructible, indeterminable, embodied One. Therefore, O descendant of Bharata, join the battle.

"
500,"2.25 It is said that This is unmanifest; This is inconceivable; This is unchangeable. Therefore, having known This thus, you ougth not to grieve.

"
703,"2.54 Arjuna said  O kesava, what is the description of a man of steady wisdom who is Self-absorbed? How does the man of steady wisdom speak? How does he sit? How does he move about?

"
710,"2.55  The Blessed said  O Partha, when one fully renounces all the desires that have entered the mind, and remains satisfied in the Self alone by the Self, then he is called a man of steady wisdom.

"
836,"

3.1  Arjuna said  O Janardana (krsna), if it be Your opinion that wisdom is superior to action, why they do you urge me to horrible aciton, O Kesava ?

"
850,"3.3 The Blessed Lord said  O unblemished one, two kinds of steadfastness in this world were spoken of by Me in the days of yore-through the Yoga of Knowledge for the men of realization; through the Yoga of Action for the yogis.

"
899,"3.10 In the days of yore, having created the beings together with the sacrifices, Prajapati said: 'By this you multiply. Let this be your yielder of coveted objects of desire.'

"
1081,"3.36 Arjuna said  Now then, O scion of the Vrsni dynasty (Krsna), impelled by what does this man commit sin even against his wish, being constrained by force, as it were?

"
1088,"3.37 The Blessed Lord said  This desire, this anger, born of the ality of rajas, is a great devourer, a great sinner. Know this to be the enemy here.

"
1109,"3.40 The organs, mind, and the intellect are said to be its abode. This one diversely deludes the embodied being by veiling Knowledge with the help of these.

"
1137,"

4.1 The Blessed Lord said  I imparted this imperishable Yoga to Vivasvan, Vivasvan taught this to Manu, and Manu transmitted this to Iksavaku.

"
1158,"4.4 Arjuna said  Your birth was later, (whereas) the birth of Vivasvan was earlier. How am I to understand this that You instructed (him) in the beginning?

"
1165,"4.5 The Blessed Lord said  O Arjuna, many lives of Mine have passed, and so have yours. I know them all, (but) you know not, O scorcher of enemies!

"
1431,"

5.1 Arjuna said  O Krsna, You praise renunciation of actions, and again, (Karma-) yoga. Tell me for certain that one which is better between these two.

"
1438,"5.2 The Blessed Lord said  Both renunciation of actions and Karma-yoga lead to Liberation. Between the two, Karma-yoga, however, excels over renunciation of actions.

"
1634,"

6.1 The Blessed Lord said  He who performs an action which is his duty, without depending on the result of action, he is a monk and a yogi; (but) not (so in) he who does not keep a fire and is actionless.

"
1648,"6.3 For the sage who wishes to ascend to (Dhyana-) yoga, action is said to be the means. For that person, when he has ascended to (Dhyana-)yoga, inaction alone is said to be the means.

"
1655,"6.4 Verily, [Verily: This word emphasizes the fact that, since attachment to sense objects like sound etc. and to actions is an obstacle in the path of Yoga, therefore the removal of that obstruction is the means to its attainment.] when a man who has given up thought about everything does not get attached to sense-objects or acitons, he is then said to be established in Yoga.

"
1753,"6.18 A man who has become free from hankering for all desirable objects is then said to be Self-absorbed when the controlled mind rests in the Self alone.

"
1858,"6.33 Arjuna said  O Madhusudana (Krsna), this Yoga that has been spoken of by You as sameness, I do not see its steady continuance, owing to the restlessness (of the mind).

"
1872,"6.35 The Blessed Lord said  O mighty-armed one, undoubtedly the mind is untractable and restless. But, O son of Kunti, it is brought under control through practice and detachment.

"
1886,"6.37 Arjuna said  O krsna, failing to achieve perfection in Yoga, what goal does one attain who, though possessed of faith, is not diligent and whose mind becomes deflected from Yoga?

"
1907,"6.40 The Blessed Lord said  O Partha, there is certainly no ruin for him here or hereafter. For, no one engaged in good meets with a deplorable end, My son!

"
1963,"

7.1 The Blessed Lord said  O Partha, hear how you, having the mind fixed on Me, practising the Yoga of Meditation and taking refuge in Me, will know Me with certainly and in fulness.

"
1970,"7.2 I shall tell you in detail of this Knowledge which is combined with realization, [From the statement, 'jnasyasi, you will know', in the earlier verse, one may conclude that the Lord is speaking of indirect or theoretical knowledge. The word 'idam, this' rules out such a conclusion; and it has also been said that this Knowledge is 'savijnanam, combined with direct experienece, realization'; it is Consciousness.] after experience which there remains nothing else here to be known again.

"
2173,"

8.1 Arjuna said  O supreme person, what is that Brahman? What is that which exists in the individual plane? What is action? And what is that which is said to exist in the physical plane? What is that which is said to be existing in the divine plane?

"
2187,"8.3 The Blessed Lord said  The Immutable is the supreme Brahman; self-hood is said to the entity present in the individual plane. By action is meant the offerings which bring about the origin of the existence of things.

"
2369,"

9.1 The Blessed Lord said  However, to you who are not given to cavilling I shall speak of this highest secret itself, which is Knowledge [Jnana may mean Brahman that is Consciousness, or Its knowledge gathered from the Vedas (paroksa-jnana). Vijnana is direct experience (aparoksa-jnana).] combined with experience, by realizing which you shall be free from evil.

"
2607,"

10.1 The Blessed Lord said  O mighty-armed one, listen over again ot My supreme utterance, which I, wishing your welfare, shall speak to you who take delight (in it).

"
2684,"10.12-10.13 Arjuna said  You are the supreme Brahman, the supreme Light, the supreme Sanctifier. All the sages as also the divine sage Narada, Asita, Devala and Vyasa [Although Narada and the other sages are already mentioned by the words 'all the sages', still they are named separately because of their eminence. Asita is the father of Devala.] call You the eternal divine Person, the Primal God, the Birthless, the Omnipresent; and You Yourself verily tell me (so).

"
2691,"10.12-10.13 Arjuna said  You are the supreme Brahman, the supreme Light, the supreme Sanctifier. All the sages as also the divine sage Narada, Asita, Devala and Vyasa [Although Narada and the other sages are already mentioned by the words 'all the sages', still they are named separately because of their eminence. Asita is the father of Devala.] call You the eternal divine Person, the Primal God, the Birthless, the Omnipresent; and You Yourself verily tell me (so).

"
2726,"10.18 O Janardana, narrate to me again [In addition to what has been said in the seventh and ninth chapters.] Your onw yoga and (divine) manifestations elaborately. For, while hearing (Your) nectar-like (words), there is no satiety in me.

"
2733,"10.19 The Blessed Lord said  O best of the Kurus, now, according to their importance, I shall described to you My onw glories, which are indeed divine. There is no end to my manifestations.

"
2901,"

11.1 Arjuna said  This delusion of mine has departed as a result of that speech which is most secret and known as pertaining to the Self, and which was uttered by You for my benefit.

"
2929,"11.5 The Blessed Lord said  O son of Prtha, behold My forms in (their) hundreds and in thousands, of different kinds, celestial, and of various colours and shapes.

"
2957,"11.9 Sanjaya said  O King, having spoken thus, thereafter, Hari [Hari: destroyer of ignorance along with its conseences.] (Krsna) the great Master of Yoga, showed to the son of Prtha the supreme divine form:

"
2992,"11.14 Then, filled with wonder, with hairs standing on end, he, Dhananjaya, (Arjuna), bowing down with his head to the Lord, said with folded hands:

"
2999,"11.15 Arjuna said  O God, I see in Your body all the gods as also hosts of (various) classes of beings; Brahma the ruler, sitting on a lotus seat, and all the heavely sages and serpents.

"
